"File","Line","Str","Code"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\SendBeaMessageFrame.java","1707","Wiedervorlage / Frist","jPanel4.setBorder(javax.swing.BorderFactory.createTitledBorder(""Wiedervorlage / Frist""));"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\SendBeaMessageFrame.java","1744","Doppelklick um heutiges Datum zu übernehmen","txtReviewDateField.setToolTipText(""Doppelklick um heutiges Datum zu übernehmen"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\SendBeaMessageFrame.java","1824","Zielakte markieren:","chkDocumentTagging.setActionCommand(""Zielakte markieren:"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\SendBeaMessageFrame.java","1831","Optionen","jPanel2.setBorder(javax.swing.BorderFactory.createTitledBorder(""Optionen""));"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\SendBeaMessageFrame.java","1833","Allgemeine Nachricht","cmbMessageType.setModel(new javax.swing.DefaultComboBoxModel<>(new String[] { ""Allgemeine Nachricht"", ""Mahnantrag"", ""Testnachricht"" }));"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\SendBeaMessageFrame.java","1836","Nachricht wird nicht qualifiziert signiert","jLabel5.setToolTipText(""Nachricht wird nicht qualifiziert signiert"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\SendBeaMessageFrame.java","1885","Vorlagedaten","jPanel1.setBorder(javax.swing.BorderFactory.createTitledBorder(""Vorlagedaten""));"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\SendBeaMessageFrame.java","1887","Vorlage:","jLabel4.setText(""Vorlage:"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\ViewBeaDialog.java","781","Weiterleiten","cmdForward.setToolTipText(""Weiterleiten"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\ViewBeaDialog.java","793","Bearbeiten","cmdEditDraft.setToolTipText(""Bearbeiten"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\cloud\CreateCloudShare.java","869","Ordner:","lblFolderCaption.setText(""Ordner:"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\cloud\CreateCloudShare.java","880","Beteiligte","rdFolderParty.setText(""Beteiligte"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\cloud\CreateCloudShare.java","889","Beteiligte-Akte","rdFolderPartyCase.setText(""Beteiligte-Akte"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\cloud\CreateCloudShare.java","897","Akte-Beteiligte","rdFolderCaseParty.setText(""Akte-Beteiligte"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\cloud\CreateCloudShare.java","933","Hochladen und Bearbeiten","rdUploadEdit.setText(""Hochladen und Bearbeiten"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\cloud\CreateCloudShare.java","936","Passwortschutz:","jLabel3.setText(""Passwortschutz:"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\cloud\CreateCloudShare.java","939","Generiert ein neues zufälliges Passwort","jButton1.setToolTipText(""Generiert ein neues zufälliges Passwort"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\cloud\ShareInfoPanel.java","865","Freigabe löschen (Dateien werden nicht gelöscht)","cmdDeleteShare.setToolTipText(""Freigabe löschen (Dateien werden nicht gelöscht)"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\cloud\ShareInfoPanel.java","873","im Browser öffnen","cmdBrowser.setToolTipText(""im Browser öffnen"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\cloud\ShareInfoPanel.java","880","Ordner:","jLabel5.setText(""Ordner:"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\components\GenericTextViewer.java","698","OSCI-Nachrichtenansicht","setTitle(""OSCI-Nachrichtenansicht"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\components\GenericTextViewer.java","704","Nachrichten-ID:","lblCaption.setText(""Nachrichten-ID:"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\components\MultiCalDialog.java","809","Datumsauswahl","setTitle(""Datumsauswahl"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\AddressBookSetupDialog.java","780","Adressbuch-Synchronisation","setTitle(""Adressbuch-Synchronisation"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\AssistantPromptSetupDialog.java","891","Es werden die Platzhalter des Vorlagensystems unterstützt.\nAktenbezogene Platzhalter (bspw. {{AKTE_ZEICHEN}}) werden nur dann ersetzt,\nwenn der Prompt aus einer Akte heraus verwendet wird.","jLabel2.setToolTipText(""Es werden die Platzhalter des Vorlagensystems unterstützt.\nAktenbezogene Platzhalter (bspw. {{AKTE_ZEICHEN}}) werden nur dann ersetzt,\nwenn der Prompt aus einer Akte heraus verwendet wird."");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\AssistantPromptV2SetupDialog.java","441","Prompt aus Datei importieren","cmdImportJson.setToolTipText(""Prompt aus Datei importieren"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\AssistantPromptV2SetupDialog.java","491","\u00dcbernehmen","cmdSave.setText(""\u00dcbernehmen"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\AssistantPromptV2SetupDialog.java","504","Es werden die Platzhalter des Vorlagensystems unterst\u00fctzt.\nAktenbezogene Platzhalter (bspw. {{AKTE_ZEICHEN}}) werden nur dann ersetzt,\nwenn der Prompt aus einer Akte heraus verwendet wird.","jLabel2.setToolTipText(""Es werden die Platzhalter des Vorlagensystems unterst\u00fctzt.\nAktenbezogene Platzhalter (bspw. {{AKTE_ZEICHEN}}) werden nur dann ersetzt,\nwenn der Prompt aus einer Akte heraus verwendet wird."");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\AssistantPromptV2SetupDialog.java","848","<BITTE EINGEBEN>","cd.setValue(""<BITTE EINGEBEN>"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\AssistantPromptV2SetupDialog.java","884","Einstellungen\","dlg.setBody(""Anbei ein Prompt für den Assistenten Ingo in j-lawyer.org-Installationen. Ein Import ist im Menü \""Einstellungen\"" - \""Assistent Ingo\"" - \""eigene Prompts\"" möglich.\n\n"", """", ""text/plain"");"
